Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,coplitot GC,gpt-3.5-turbo,gpt-4-turbo,ChatGPT-4 GC
0.24.0,cross_decomposition.CCA,P,,"For cross_decomposition.PLSSVD, cross_decomposition.CCA, and cross_decomposition.PLSCanonical, the x_scores_ and y_scores_ attributes were deprecated and will be removed in 1.1 (renaming of 0.26). They can be retrieved by calling transform on the training data. The norm_y_weights attribute will also be removed.",#17095,"Canonical Correlation Analysis, also known as “Mode B” PLS.",https://scikit-learn.org/stable/modules/generated/sklearn.cross_decomposition.CCA.html#sklearn.cross_decomposition.CCA,,,,10/10
0.24.0,cross_decomposition.PLSSVD,P,,"For cross_decomposition.PLSSVD, cross_decomposition.CCA, and cross_decomposition.PLSCanonical, the x_scores_ and y_scores_ attributes were deprecated and will be removed in 1.1 (renaming of 0.26). They can be retrieved by calling transform on the training data. The norm_y_weights attribute will also be removed.",#17095,Partial Least Square SVD.,https://scikit-learn.org/stable/modules/generated/sklearn.cross_decomposition.PLSSVD.html#sklearn.cross_decomposition.PLSSVD,,,,10/10
0.24.0,covariance.GraphicalLassoCV,P,," Deprecates cv_alphas_ in favor of cv_results_['alphas'] and grid_scores_ in favor of split scores in cv_results_ in covariance.GraphicalLassoCV. cv_alphas_ and grid_scores_ will be removed in version 1.1 (renaming of 0.26). #16392 by Thomas Fan.
",#16392,Sparse inverse covariance w/ cross-validated choice of the l1 penalty.,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html#sklearn.covariance.GraphicalLassoCV,,,,10/10
0.24.0,cluster.MiniBatchKMeans ,P,,"cluster.MiniBatchKMeans attributes, counts_ and init_size_, are deprecated and will be removed in 1.1",#17864,Mini-Batch K-Means clustering.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.MiniBatchKMeans.html#sklearn.cluster.MiniBatchKMeans,,,,6/7
1.0.0,calibration.CalibrationDisplay,A,,calibration.CalibrationDisplay added to plot calibration curves.,#17443,Calibration curve (also known as reliability diagram) visualization.,https://scikit-learn.org/stable/modules/generated/sklearn.calibration.CalibrationDisplay.html#sklearn.calibration.CalibrationDisplay,,,,
1.0.0,cluster.MiniBatchKMeans,,,the default value for the batch_size parameter of cluster.MiniBatchKMeans was changed from 100 to 1024 due to efficiency reasons. The n_iter_ attribute of cluster.MiniBatchKMeans now reports the number of started epochs and the n_steps_ attribute reports the number of mini batches processed,#17622,Mini-Batch K-Means clustering.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.MiniBatchKMeans.html#sklearn.cluster.MiniBatchKMeans,,,,
1.0.0,sklearn.cluster.FeatureAgglomeration,P,,"cluster.FeatureAgglomeration does not accept a **params kwarg in the fit function anymore, resulting in a more concise error message",#20899,"Agglomerate features.

Recursively merges pair of clusters of features.",https://scikit-learn.org/stable/modules/generated/sklearn.cluster.FeatureAgglomeration.html#sklearn.cluster.FeatureAgglomeration,,,,0/10
1.0.0,cluster.spectral_clustering,R,,cluster.spectral_clustering raises an improved error when passed a np.matrix.,#20560,Apply clustering to a projection of the normalized Laplacian.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.spectral_clustering.html#sklearn.cluster.spectral_clustering,,,,10/10
1.0.0,sklearn.compose.ColumnTransformer,P,,Adds verbose_feature_names_out to compose.ColumnTransformer. This flag controls the prefixing of feature names out in get_feature_names_out.,#18444,Applies transformers to columns of an array or pandas DataFrame.,https://scikit-learn.org/stable/modules/generated/sklearn.compose.ColumnTransformer.html#sklearn.compose.ColumnTransformer,,,,10/10
1.0.0,datasets.load_boston,D,, Deprecates datasets.load_boston in 1.0 and it will be removed in 1.2. Alternative code snippets to load similar datasets are provided. Please report to the docstring of the function for details.,#20729,Load and return the boston house-prices dataset (regression).,https://scikit-learn.org/0.15/modules/generated/sklearn.datasets.load_boston.html,8/8,10/10,10/10,8/8
1.0.0,,,,"Deprecates the following keys in cv_results_: 'mean_score', 'std_score', and 'split(k)_score' in favor of 'mean_test_score' 'std_test_score', and 'split(k)_test_score'.",,,,,,,
1.0.0,decomposition.DictionaryLearning,P,,"In decomposition.DictionaryLearning, decomposition.MiniBatchDictionaryLearning, decomposition.dict_learning and decomposition.dict_learning_online, transform_alpha will be equal to alpha instead of 1.0 by default starting from version 1.2",#19159,"Dictionary learning.

Finds a dictionary (a set of atoms) that performs well at sparsely encoding the fitted data.",https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.DictionaryLearning.html#sklearn.decomposition.DictionaryLearning,,,,10/10
1.0.0,decomposition.MiniBatchDictionaryLearning,P,,"In decomposition.DictionaryLearning, decomposition.MiniBatchDictionaryLearning, decomposition.dict_learning and decomposition.dict_learning_online, transform_alpha will be equal to alpha instead of 1.0 by default starting from version 1.2",#19159,Mini-batch dictionary learning.,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.MiniBatchDictionaryLearning.html#sklearn.decomposition.MiniBatchDictionaryLearning,,,,10/10
1.0.0,decomposition.dict_learning,P,,"In decomposition.DictionaryLearning, decomposition.MiniBatchDictionaryLearning, decomposition.dict_learning and decomposition.dict_learning_online, transform_alpha will be equal to alpha instead of 1.0 by default starting from version 1.2",#19159,Solve a dictionary learning matrix factorization problem.,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.dict_learning.html#sklearn.decomposition.dict_learning,,,,0/10
1.0.0,decomposition.dict_learning_online,P,,"In decomposition.DictionaryLearning, decomposition.MiniBatchDictionaryLearning, decomposition.dict_learning and decomposition.dict_learning_online, transform_alpha will be equal to alpha instead of 1.0 by default starting from version 1.2",#19159,"Solve a dictionary learning matrix factorization problem online.
",https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.dict_learning_online.html#sklearn.decomposition.dict_learning_online,,,,0/10
1.0.0,decomposition.NMF,P,,The alpha and regularization parameters of decomposition.NMF and decomposition.non_negative_factorization are deprecated and will be removed in 1.2. Use the new parameters alpha_W and alpha_H instead.,#20512,"Non-Negative Matrix Factorization (NMF).

Find two non-negative matrices, i.e. matrices with all non-negative elements, (W, H) whose product approximates the non-negative matrix X. This factorization can be used for example for dimensionality reduction, source separation or topic extraction.

",https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.NMF.html#sklearn.decomposition.NMF,,,,10/10
1.0.0,decomposition.non_negative_factorization,P,,The alpha and regularization parameters of decomposition.NMF and decomposition.non_negative_factorization are deprecated and will be removed in 1.2. Use the new parameters alpha_W and alpha_H instead.,#20512,"""Non-Negative Matrix Factorization (NMF).

Find two non-negative matrices, i.e. matrices with all non-negative elements, (W, H) whose product approximates the non-negative matrix X. This factorization can be used for example for dimensionality reduction, source separation or topic extraction.

""",https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.non_negative_factorization.html#sklearn.decomposition.non_negative_factorization,,,,0/10
1.0.0,dummy.DummyRegressor,P,,Attribute n_features_in_ in dummy.DummyRegressor and dummy.DummyRegressor is deprecated and will be removed in 1.2.,#20960,Regressor that makes predictions using simple rules.,https://scikit-learn.org/stable/modules/generated/sklearn.dummy.DummyRegressor.html#sklearn.dummy.DummyRegressor,,,,0/10
1.0.0,ensemble.HistGradientBoostingClassifier ,P,,Removes tol=None option in ensemble.HistGradientBoostingClassifier ,#19296,Histogram-based Gradient Boosting Classification Tree.,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingRegressor.html#sklearn.ensemble.HistGradientBoostingRegressor,,,,10/10
1.0.0,feature_selection.RFECV. grid_scores_,D,,Deprecates grid_scores_ in favor of split scores in cv_results_ in feature_selection.RFECV. grid_scores_ will be removed in version 1.2. ,#20161,,,,,,
1.0.0,sklearn.inspection.plot_partial_dependence,D,,inspection.PartialDependenceDisplay exposes a class method: from_estimator. inspection.plot_partial_dependence is deprecated in favor of the class method and will be removed in 1.2.,#20959,,https://scikit-learn.org/0.24/modules/generated/sklearn.inspection.plot_partial_dependence.html,,,,
1.0.0,metrics.plot_confusion_matrix,D,,metrics.ConfusionMatrixDisplay exposes two class methods from_estimator and from_predictions allowing to create a confusion matrix plot using an estimator or the predictions. metrics.plot_confusion_matrix is deprecated in favor of these two class methods and will be removed in 1.2.,#18543,Plot Confusion Matrix.,https://scikit-learn.org/1.0/modules/generated/sklearn.metrics.plot_confusion_matrix.html,1/9,10/10,1/10,6/10
1.0.0,metrics.plot_precision_recall_curve ,D,,metrics.PrecisionRecallDisplay exposes two class methods from_estimator and from_predictions allowing to create a precision-recall curve using an estimator or the predictions. metrics.plot_precision_recall_curve is deprecated in favor of these two class methods and will be removed in 1.2.,#20552,Plot Precision Recall Curve for binary classifiers.,https://scikit-learn.org/1.0/modules/generated/sklearn.metrics.plot_precision_recall_curve.html,2/9,0/10,0/10,0/10
1.0.0,metrics.plot_det_curve,D,,"metrics.DetCurveDisplay exposes two class methods from_estimator and from_predictions allowing to create a confusion matrix plot using an estimator or the predictions. metrics.plot_det_curve is deprecated in favor of these two class methods and will be removed in 1.2.
",#19278,Plot Receiver operating characteristic (ROC) curve.,https://scikit-learn.org/1.0/modules/generated/sklearn.metrics.plot_roc_curve.html,0/9,0/10,0/10,0/10
1.0.0,sklearn.naive_bayes.GaussianNB,P,,"The attribute sigma_ is now deprecated in naive_bayes.GaussianNB and will be removed in 1.2. Use var_ instead. #18842 by Hong Shao Yang.

",#18842,"Gaussian Naive Bayes (GaussianNB).

Can perform online updates to model parameters via partial_fit. ",https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.GaussianNB.html#sklearn.naive_bayes.GaussianNB,,,,10/10
1.0.0,sklearn.neighbors.RadiusNeighborsClassifier,P,,"The parameter kwargs of neighbors.RadiusNeighborsClassifier is deprecated and will be removed in 1.2. #20842 by Juan Martín Loyola.

",#20842,Classifier implementing a vote among neighbors within a given radius.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.RadiusNeighborsClassifier.html#sklearn.neighbors.RadiusNeighborsClassifier,,,,10/10
1.0.0,sklearn.preprocessing.PolynomialFeatures,P,,The n_input_features_ attribute of preprocessing.PolynomialFeatures is deprecated in favor of n_features_in_ and will be removed in 1.2. ,#20240,"Generate polynomial and interaction features.

Generate a new feature matrix consisting of all polynomial combinations of the features with degree less than or equal to the specified degree. For example, if an input sample is two dimensional and of the form [a, b], the degree-2 polynomial features are [1, a, b, a^2, ab, b^2].",https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.PolynomialFeatures.html#sklearn.preprocessing.PolynomialFeatures,,,,10/10
1.0.0,svm.OneClassSVM.fit,P,,The parameter **params of svm.OneClassSVM.fit is deprecated and will be removed in 1.2. ,#20843,Detect the soft boundary of the set of samples X.,https://scikit-learn.org/stable/modules/generated/sklearn.svm.OneClassSVM.html#sklearn.svm.OneClassSVM.fit,,,,7/10
1.0.0,tree.DecisionTreeClassifier,P,,"The n_features_ attribute of tree.DecisionTreeClassifier, tree.DecisionTreeRegressor, tree.ExtraTreeClassifier and tree.ExtraTreeRegressor is deprecated in favor of n_features_in_ and will be removed in 1.2.",#20272,A decision tree classifier.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeClassifier.html#sklearn.tree.DecisionTreeClassifier,,,,9/10
1.0.0,tree.DecisionTreeRegressor,P,,"The n_features_ attribute of tree.DecisionTreeClassifier, tree.DecisionTreeRegressor, tree.ExtraTreeClassifier and tree.ExtraTreeRegressor is deprecated in favor of n_features_in_ and will be removed in 1.2.",#20272,A decision tree regressor.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html#sklearn.tree.DecisionTreeRegressor,,,,10/10
1.0.0,tree.ExtraTreeClassifier,P,,"The n_features_ attribute of tree.DecisionTreeClassifier, tree.DecisionTreeRegressor, tree.ExtraTreeClassifier and tree.ExtraTreeRegressor is deprecated in favor of n_features_in_ and will be removed in 1.2.",#20272,An extremely randomized tree classifier.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.ExtraTreeClassifier.html#sklearn.tree.ExtraTreeClassifier,,,,0/10
1.0.0,tree.ExtraTreeRegressor,P,,"The n_features_ attribute of tree.DecisionTreeClassifier, tree.DecisionTreeRegressor, tree.ExtraTreeClassifier and tree.ExtraTreeRegressor is deprecated in favor of n_features_in_ and will be removed in 1.2.",#20272,An extremely randomized tree regressor.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.ExtraTreeRegressor.html#sklearn.tree.ExtraTreeRegressor,,,,0/10
1.0.0,utils._testing.assert_warns,D,,utils._testing.assert_warns and utils._testing.assert_warns_message are deprecated in 1.0 and will be removed in 1.2. Used pytest.warns context manager instead. Note that these functions were not documented and part from the public API.,#20521,,,,,,
1.0.0,utils._testing.assert_warns_message,D,,utils._testing.assert_warns and utils._testing.assert_warns_message are deprecated in 1.0 and will be removed in 1.2. Used pytest.warns context manager instead. Note that these functions were not documented and part from the public API.,#20521,,,,,,
1.0.0,utils.graph.graph_shortest_path,D,,"Fixed several bugs in utils.graph.graph_shortest_path, which is now deprecated. Use scipy.sparse.csgraph.shortest_path instead.",#20531,Perform a shortest-path graph search on a positive directed or undirected graph.,https://scikit-learn.org/0.24/modules/generated/sklearn.utils.graph_shortest_path.graph_shortest_path.html,0/2,10/10,0/10,0/10
1.1.0,calibration.calibration_curve,P,,calibration.calibration_curve’s normalize parameter is now deprecated and will be removed in version 1.3. It is recommended that a proper probability (i.e. a classifier’s predict_proba positive class) is used for y_prob. ,#23095,"Compute true and predicted probabilities for a calibration curve.

The method assumes the inputs come from a binary classifier, and discretize the [0, 1] interval into bins.

",https://scikit-learn.org/stable/modules/generated/sklearn.calibration.calibration_curve.html#sklearn.calibration.calibration_curve,,,,
1.1.0,cluster.BisectingKMeans,A,,cluster.BisectingKMeans introducing Bisecting K-Means algorithm,#20031,Bisecting K-Means clustering.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.BisectingKMeans.html#sklearn.cluster.BisectingKMeans,,,,
1.1.0,datasets.make_sparse_coded_signal ,P,,"datasets.make_sparse_coded_signal now accepts a parameter data_transposed to explicitly specify the shape of matrix X. The default behavior True is to return a transposed matrix X corresponding to a (n_features, n_samples) shape. The default value will change to False in version 1.3.",#21425,Generate a signal as a sparse combination of dictionary elements.,https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_sparse_coded_signal.html#sklearn.datasets.make_sparse_coded_signal,,,,1/10
1.1.0,decomposition.MiniBatchNMF.,A,,"Added a new estimator decomposition.MiniBatchNMF. It is a faster but less accurate version of non-negative matrix factorization, better suited for large datasets. ",#16948,Mini-Batch Non-Negative Matrix Factorization (NMF).,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.MiniBatchNMF.html#sklearn.decomposition.MiniBatchNMF,,,,
1.1.0,ensemble.GradientBoostingClassifier,P,,The attribute loss_ of ensemble.GradientBoostingClassifier and ensemble.GradientBoostingRegressor has been deprecated and will be removed in version 1.3.,#23079,Gradient Boosting for classification.,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingClassifier.html#sklearn.ensemble.GradientBoostingClassifier,,,,10/10
1.1.0,ensemble.GradientBoostingRegressor ,P,,The attribute loss_ of ensemble.GradientBoostingClassifier and ensemble.GradientBoostingRegressor has been deprecated and will be removed in version 1.3.,#23079,Gradient Boosting for regression.,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html#sklearn.ensemble.GradientBoostingRegressor,,,,10/10
1.1.0,,,,"Changed the default of max_features to 1.0 for ensemble.RandomForestRegressor and to ""sqrt"" for ensemble.RandomForestClassifier. Note that these give the same fit results as before, but are much easier to understand. The old default value ""auto"" has been deprecated and will be removed in version 1.3. The same changes are also applied for ensemble.ExtraTreesRegressor and ensemble.ExtraTreesClassifier.",#20803,,,,,,
1.1.0,impute.SimpleImputer,P,,The verbose parameter was deprecated for impute.SimpleImputer. A warning will always be raised upon the removal of empty columns. ,#21448,"Univariate imputer for completing missing values with simple strategies.

Replace missing values using a descriptive statistic (e.g. mean, median, or most frequent) along each column, or using a constant value.",https://scikit-learn.org/stable/modules/generated/sklearn.impute.SimpleImputer.html#sklearn.impute.SimpleImputer,,,,10/10
1.1.0, linear_model.LassoLarsIC,P,,linear_model.LassoLarsIC now exposes noise_variance as a parameter in order to provide an estimate of the noise variance. This is particularly relevant when n_features > n_samples and the estimator of the noise variance cannot be computed.,#21481,Lasso model fit with Lars using BIC or AIC for model selection.,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html#sklearn.linear_model.LassoLarsIC,,,,10/10
1.1.0, manifold.Isomap,P,,manifold.Isomap now supports radius-based neighbors via the radius argument.,#19794,"Isomap Embedding.

",https://scikit-learn.org/stable/modules/generated/sklearn.manifold.Isomap.html#sklearn.manifold.Isomap,,,,10/10
1.1.0,metrics.r2_score ,P,,"metrics.r2_score and metrics.explained_variance_score have a new force_finite parameter. Setting this parameter to False will return the actual non-finite score in case of perfect predictions or constant y_true, instead of the finite approximation (1.0 and 0.0 respectively) currently returned by default.",#17266," (coefficient of determination) regression score function.

Best possible score is 1.0 and it can be negative (because the model can be arbitrarily worse). In the general case when the true y is non-constant, a constant model that always predicts the average y disregarding the input features would get a 
 score of 0.0.",https://scikit-learn.org/stable/modules/generated/sklearn.metrics.r2_score.html#sklearn.metrics.r2_score,,,,9/10
1.1.0,metrics.explained_variance_score,P,,"metrics.r2_score and metrics.explained_variance_score have a new force_finite parameter. Setting this parameter to False will return the actual non-finite score in case of perfect predictions or constant y_true, instead of the finite approximation (1.0 and 0.0 respectively) currently returned by default.",#17266,Explained variance regression score function. ,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.explained_variance_score.html#sklearn.metrics.explained_variance_score,,,,
1.1.0,metrics.SCORERS,D,,metrics.SCORERS is now deprecated and will be removed in 1.3. Please use metrics.get_scorer_names to retrieve the names of all available scorers.,#22866,"Get the names of all available scorers.

",,7/9,10/10,9/10,9/10
1.1.0,metrics.DistanceMetric,P,,"The ""wminkowski"" metric of metrics.DistanceMetric is deprecated and will be removed in version 1.3. Instead the existing ""minkowski"" metric now takes in an optional w parameter for weights. This deprecation aims at remaining consistent with SciPy 1.8 convention.",#21873,,,,,,
1.1.0,,,,"metrics.DistanceMetric has been moved from sklearn.neighbors to sklearn.metrics. Using neighbors.DistanceMetric for imports is still valid for backward compatibility, but this alias will be removed in 1.3. #21177 by Julien Jerphanion.

",#21177,,,,,,
1.1.0,utils.estimator_checks.check_estimator,P,,utils.estimator_checks.check_estimator’s argument is now called estimator (previous name was Estimator).,#22188,Check if estimator adheres to scikit-learn conventions.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.estimator_checks.check_estimator.html#sklearn.utils.estimator_checks.check_estimator,,,,
1.1.0,utils.metaestimators.if_delegate_has_method,D,,utils.metaestimators.if_delegate_has_method is deprecated and will be removed in version 1.3. Use utils.metaestimators.available_if instead.,#22830,Create a decorator for methods that are delegated to a sub-estimator,https://scikit-learn.org/0.24/modules/generated/sklearn.utils.metaestimators.if_delegate_has_method.html,0/7,10/10,0/10,0/10
1.2.0,calibration.CalibratedClassifierCV ,P,,Rename base_estimator to estimator in calibration.CalibratedClassifierCV to improve readability and consistency. The parameter base_estimator is deprecated and will be removed in 1.4. ,#22054,Probability calibration with isotonic regression or logistic regression.,https://scikit-learn.org/stable/modules/generated/sklearn.calibration.CalibratedClassifierCV.html#sklearn.calibration.CalibratedClassifierCV,,,,10/10
1.2.0,cluster.AgglomerativeClustering,P,,The affinity attribute is now deprecated for cluster.AgglomerativeClustering and will be renamed to metric in v1.4.,#23470,"Agglomerative Clustering.

Recursively merges pair of clusters of sample data; uses linkage distance.",https://scikit-learn.org/stable/modules/generated/sklearn.cluster.AgglomerativeClustering.html#sklearn.cluster.AgglomerativeClustering,,,,9/10
1.2.0,decomposition.MiniBatchSparsePCA,P,,"The n_iter parameter of decomposition.MiniBatchSparsePCA is deprecated and replaced by the parameters max_iter, tol, and max_no_improvement to be consistent with decomposition.MiniBatchDictionaryLearning. n_iter will be removed in version 1.3.",#23726,"Sparse Principal Components Analysis (SparsePCA).

Finds the set of sparse components that can optimally reconstruct the data. The amount of sparseness is controllable by the coefficient of the L1 penalty, given by the parameter alpha.",https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.SparsePCA.html#sklearn.decomposition.SparsePCA,,,,0/10
1.2.0,decomposition.PCA ,P,,The n_features_ attribute of decomposition.PCA is deprecated in favor of n_features_in_ and will be removed in 1.4.,#24421,"Principal component analysis (PCA).

Linear dimensionality reduction using Singular Value Decomposition of the data to project it to a lower dimensional space. The input data is centered but not scaled for each feature before applying the SVD.",https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.PCA.html#sklearn.decomposition.PCA,,,,9/10
1.2.0,,P,,"Rename the constructor parameter base_estimator to estimator in the following classes: ensemble.BaggingClassifier, ensemble.BaggingRegressor, ensemble.AdaBoostClassifier, ensemble.AdaBoostRegressor. base_estimator is deprecated in 1.2 and will be removed in 1.4.",#23819,,,,,,
