,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,coplitot GC,gpt-4,gpt-3.5-turbo GC,ChatGPT-4 GC
1.8.0,scipy.linalg.bandwidth,A,,"scipy.linalg gained three new public array structure investigation functions. scipy.linalg.bandwidth returns information about the bandedness of an array and can be used to test for triangular structure discovery, while scipy.linalg.issymmetric and scipy.linalg.ishermitian test the array for exact and approximate symmetric/Hermitian structure.",,Return the lower and upper bandwidth of a 2D numeric array.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.linalg.bandwidth.html#scipy.linalg.bandwidth,,,,
1.8.0,scipy.linalg.issymmetric,A,,"scipy.linalg gained three new public array structure investigation functions. scipy.linalg.bandwidth returns information about the bandedness of an array and can be used to test for triangular structure discovery, while scipy.linalg.issymmetric and scipy.linalg.ishermitian test the array for exact and approximate symmetric/Hermitian structure.",,Check if a square 2D array is symmetric.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.linalg.issymmetric.html#scipy.linalg.issymmetric,,,,
1.8.0,scipy.linalg.ishermitian,A,,"scipy.linalg gained three new public array structure investigation functions. scipy.linalg.bandwidth returns information about the bandedness of an array and can be used to test for triangular structure discovery, while scipy.linalg.issymmetric and scipy.linalg.ishermitian test the array for exact and approximate symmetric/Hermitian structure.",,"Check if a square 2D array is Hermitian.

",https://docs.scipy.org/doc/scipy/reference/generated/scipy.linalg.ishermitian.html#scipy.linalg.ishermitian,,,,
1.8.0,scipy.optimize.check_grad,P,,"scipy.optimize.check_grad introduces two new optional keyword only arguments, direction and seed. direction can take values, 'all' (default), in which case all the one hot direction vectors will be used for verifying the input analytical gradient function and 'random', in which case a random direction vector will be used for the same purpose. seed (default is None) can be used for reproducing the return value of check_grad function. It will be used only when direction='random'.",,Check the correctness of a gradient function by comparing it against a (forward) finite-difference approximation of the gradient.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.check_grad.html#scipy.optimize.check_grad,1/10,,10/10,10/10
1.8.0,scipy.spatial.distance.kulczynski1 ,A,,Add scipy.spatial.distance.kulczynski1 in favour of scipy.spatial.distance.kulsinski which will be deprecated in the next release.,,Compute the Kulczynski 1 dissimilarity between two boolean 1-D arrays.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.spatial.distance.kulczynski1.html#scipy.spatial.distance.kulczynski1,,,,
1.8.0,scipy.spatial.distance.kulsinski,D,,Add scipy.spatial.distance.kulczynski1 in favour of scipy.spatial.distance.kulsinski which will be deprecated in the next release.,,Compute the Kulsinski dissimilarity between two boolean 1-D arrays. Provide 10 solutions,,3/8,,10/10,10/10
1.8.0,scipy.special.log_expit,A,,"The new function scipy.special.log_expit computes the logarithm of the logistic sigmoid function. The function is formulated to provide accurate results for large positive and negative inputs, so it avoids the problems that would occur in the naive implementation log(expit(x)).",,Logarithm of the logistic sigmoid function.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.special.log_expit.html#scipy.special.log_expit,,,,
1.8.0,scipy.stats.qmc.LatinHypercube,P,,"scipy.stats.qmc.LatinHypercube introduces two new optional keyword-only arguments, optimization and strength. optimization is either None or random-cd. In the latter, random permutations are performed to improve the centered discrepancy. strength is either 1 or 2. 1 corresponds to the classical LHS while 2 has better sub-projection properties. This construction is referred to as an orthogonal array based LHS of strength 2. In both cases, the output is still a LHS.",,Latin hypercube sampling (LHS).,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.qmc.LatinHypercube.html#scipy.stats.qmc.LatinHypercube,0/10,,0/10,9/10
1.8.0,scipy.stats.gzscore ,A,,"Add scipy.stats.gzscore to calculate the geometrical z score.

",,Compute the geometric standard score.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.gzscore.html#scipy.stats.gzscore,,,,
1.8.0,scipy.stats.tukey_hsd,A,,Added the Tukey-Kramer test as scipy.stats.tukey_hsd.,,Perform Tukey’s HSD test for equality of means over multiple treatments.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.tukey_hsd.html#scipy.stats.tukey_hsd,,,,
1.8.0,scipy.stats.variation,A,,Added the parameter keepdims to scipy.stats.variation and prevent the undesirable return of a masked array from the function in some cases.,,Compute the coefficient of variation.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.variation.html#scipy.stats.variation,,,,
1.8.0,scipy.ndimage.filters,D,,"SciPy has always documented what its public API consisted of in its API reference docs, however there never was a clear split between public and private namespaces in the code base. In this release, all namespaces that were private but happened to miss underscores in their names have been deprecated. These include (as examples, there are many more):

scipy.signal.spline

scipy.ndimage.filters

scipy.ndimage.fourier

scipy.ndimage.measurements

scipy.ndimage.morphology

scipy.ndimage.interpolation

scipy.sparse.linalg.solve

scipy.sparse.linalg.eigen

scipy.sparse.linalg.isolve",,,,,,,
1.8.0,scipy.ndimage.fourier,D,,,,,,,,,
1.8.0,scipy.ndimage.measurements,D,,,,,,,,,
1.8.0,scipy.ndimage.morphology,D,,,,,,,,,
1.8.0,"
scipy.ndimage.interpolation",D,,,,,,,,,
1.8.0,scipy.sparse.linalg.solve,D,,,,"Solve the sparse linear system Ax=b, where b may be a vector or a matrix.",,0/10,,0/10,0/9
1.8.0,scipy.sparse.linalg.eigen,D,,,,Find k eigenvalues and eigenvectors of the square matrix A.,,0/9,,0/10,0/10
1.8.0,scipy.sparse.linalg.isolve,D,,,,"Solve the sparse linear system Ax=b, where b may be a vector or a matrix.",,0/10,,0/10,0/9
1.8.0,scipy.stats.NumericalInverseHermite,D,,NumericalInverseHermite has been deprecated from scipy.stats and moved to the scipy.stats.sampling submodule. ,,approximates the inverse of a continuous statistical distribution’s CDF with a Hermite spline. Order of the hermite spline can be specified by passing the order parameter.,,0/8,,0/10,10/10
1.9.0,scipy.optimize.direct,A,,"A new global optimizer, scipy.optimize.direct (DIviding RECTangles algorithm) was added. For problems with inexpensive function evaluations, like the ones in the SciPy benchmark suite, direct is competitive with the best other solvers in SciPy (dual_annealing and differential_evolution) in terms of execution time.",,Finds the global minimum of a function using the DIRECT algorithm.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.direct.html#scipy.optimize.direct,,,,
1.9.0,scipy.optimize.curve_fit,P,,Add a full_output parameter to scipy.optimize.curve_fit to output additional solution information.,,"Use non-linear least squares to fit a function, f, to data.",https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.curve_fit.html#scipy.optimize.curve_fit,5/10,,10/10,6/6
1.9.0,scipy.optimize.differential_evolution,P,,"Add a integrality parameter to scipy.optimize.differential_evolution, enabling integer constraints on parameters.",,Finds the global minimum of a multivariate function.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.differential_evolution.html#scipy.optimize.differential_evolution,1/9,,0/10,2/10
1.9.0,scipy.optimize.milp,A,,"Added scipy.optimize.milp, new function for mixed-integer linear programming.",,Mixed-integer linear programming,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.milp.html#scipy.optimize.milp,,,,
1.9.0,scipy.signal.windows.kaiser_bessel_derived,A,,The new window function scipy.signal.windows.kaiser_bessel_derived was added to compute the Kaiser-Bessel derived window.,,Return a Kaiser-Bessel derived window.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.signal.windows.kaiser_bessel_derived.html#scipy.signal.windows.kaiser_bessel_derived,,,,
1.9.0,scipy.sparse.csgraph.laplacian,P,,"Add a copy parameter to scipy.sparce.csgraph.laplacian. Using inplace computation with copy=False reduces the memory footprint. Add a dtype parameter to scipy.sparce.csgraph.laplacian for type casting.

Add a symmetrized parameter to scipy.sparce.csgraph.laplacian to produce symmetric Laplacian for directed graphs.                                            Add a form parameter to scipy.sparce.csgraph.laplacian taking one of the three values: array, or function, or lo determining the format of the output Laplacian: * array is a numpy array (backward compatible default); * function is a pointer to a lambda-function evaluating the Laplacian-vector or Laplacian-matrix product; * lo results in the format of the LinearOperator.",,Return the Laplacian of a directed graph.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.sparse.csgraph.laplacian.html,1/10,,0/10,7/7
1.9.0,scipy.spatial.transform.Rotation.from_quat,P,,Add an order parameter to scipy.spatial.transform.Rotation.from_quat and scipy.spatial.transform.Rotation.as_quat to specify quaternion format.,,Initialize from quaternions.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.spatial.transform.Rotation.from_quat.html#scipy.spatial.transform.Rotation.from_quat,5/10,,10/10,6/9
1.9.0,scipy.spatial.transform.Rotation.as_quat ,P,,Add an order parameter to scipy.spatial.transform.Rotation.from_quat and scipy.spatial.transform.Rotation.as_quat to specify quaternion format.,,Represent as quaternions.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.spatial.transform.Rotation.as_quat.html#scipy.spatial.transform.Rotation.as_quat,0/10,,10/10,4/9
1.9.0,scipy.stats.hmean,P,,Add a weights parameter to scipy.stats.hmean,,Calculate the weighted harmonic mean along the specified axis.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.hmean.html#scipy.stats.hmean,3/10,,10/10,1/7
1.9.0,scipy.stats.fit ,A,,Added scipy.stats.fit for fitting discrete and continuous distributions to data.,,Fit a discrete or continuous distribution to data,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.fit.html#scipy.stats.fit,,,,
1.9.0,scipy.stats.qmc.Sobol,P,,Add a bits parameter to scipy.stats.qmc.Sobol. It allows to use from 0 to 64 bits to compute the sequence. Default is None which corresponds to 30 for backward compatibility. Using a higher value allow to sample more points. Note: bits does not affect the output dtype.,,Engine for generating (scrambled) Sobol’ sequences.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.qmc.Sobol.html#scipy.stats.qmc.Sobol,2/8,,10/10,10/10
1.9.0,scipy.stats.pmean,A,,Add scipy.stats.pmean to calculate the weighted power mean also called generalized mean.,,Calculate the weighted power mean along the specified axis.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.pmean.html#scipy.stats.pmean,,,,
1.9.0,scipy.stats.qmc.PoissonDisk,A,,Add scipy.stats.qmc.PoissonDisk to sample using the Poisson disk sampling method. It guarantees that samples are separated from each other by a given radius.,,Poisson disk sampling.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.qmc.PoissonDisk.html#scipy.stats.qmc.PoissonDisk,,,,
1.10.0,scipy.datasets,A,,"A new dedicated datasets submodule (scipy.datasets) has been added, and is now preferred over usage of scipy.misc for dataset retrieval.",,,https://docs.scipy.org/doc/scipy/reference/datasets.html#module-scipy.datasets,,,,
1.10.0,scipy.integrate.quad,P,,"Added parameter complex_func to scipy.integrate.quad, which can be set True to integrate a complex integrand.",,Compute a definite integral.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.integrate.quad.html#scipy.integrate.quad,6/6,,10/10,7/10
1.10.0,scipy.interpolate.BSpline.design_matrix,P,,"A new extrapolate argument is available to scipy.interpolate.BSpline.design_matrix, allowing extrapolation based on the first and last intervals.",,Returns a design matrix as a CSR format sparse array.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.interpolate.BSpline.design_matrix.html#scipy.interpolate.BSpline.design_matrix,0/10,,0/10,0/10
1.10.0,scipy.interpolate.make_smoothing_spline,P,,A new function scipy.interpolate.make_smoothing_spline has been added. It is an implementation of the generalized cross-validation spline smoothing algorithm. The lam=None (default) mode of this function is a clean-room reimplementation of the classic gcvspl.f Fortran algorithm for constructing GCV splines.,,"Compute the (coefficients of) smoothing cubic spline function using lam to control the tradeoff between the amount of smoothness of the curve and its proximity to the data. In case lam is None, using the GCV criteria to find it.",https://docs.scipy.org/doc/scipy/reference/generated/scipy.interpolate.make_smoothing_spline.html#scipy.interpolate.make_smoothing_spline,0/10,,0/10,0/8
1.10.0,scipy.ndimage.gaussian_filter1d,P,,A new radius argument is supported by scipy.ndimage.gaussian_filter1d and scipy.ndimage.gaussian_filter for adjusting the kernel size of the filter.,,1-D Gaussian filter.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.gaussian_filter1d.html#scipy.ndimage.gaussian_filter1d,10/10,,10/10,10/10
1.10.0,scipy.ndimage.gaussian_filter,P,,A new radius argument is supported by scipy.ndimage.gaussian_filter1d and scipy.ndimage.gaussian_filter for adjusting the kernel size of the filter.,,Multidimensional Gaussian filter.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.gaussian_filter.html#scipy.ndimage.gaussian_filter,3/10,,0/10,10/10
1.10.0,scipy.signal.windows.lanczos,A,,"The new window function scipy.signal.windows.lanczos was added to compute a Lanczos window, also known as a sinc window.",,Return a Lanczos window also known as a sinc window.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.signal.windows.lanczos.html#scipy.signal.windows.lanczos,,,,
1.10.0,scipy.special.powm1,A,,"The new function scipy.special.powm1, a ufunc with signature powm1(x, y), computes x**y - 1. The function avoids the loss of precision that can result when y is close to 0 or when x is close to 1.",,"Computes x**y - 1.

This function is useful when y is near 0, or when x is near 1.

The function is implemented for real types only (unlike numpy.power, which accepts complex inputs).",https://docs.scipy.org/doc/scipy/reference/generated/scipy.special.powm1.html#scipy.special.powm1,,,,
1.10.0,scipy.stats.goodness_of_fit,A,,"Added scipy.stats.goodness_of_fit, a generalized goodness-of-fit test for use with any univariate distribution, any combination of known and unknown parameters, and several choices of test statistic (Kolmogorov-Smirnov, Cramer-von Mises, and Anderson-Darling).",,Perform a goodness of fit test comparing data to a distribution family.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.goodness_of_fit.html#scipy.stats.goodness_of_fit,,,,
1.10.0,scipy.stats.qmc.LatinHypercube,P,,scipy.stats.qmc.LatinHypercube parameter centered has been deprecated. It is replaced by the scramble argument for more consistency with other QMC engines.,,Latin hypercube sampling (LHS),https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.qmc.LatinHypercube.html#scipy.stats.qmc.LatinHypercube,,,,
1.10.0,scipy.stats.qmc.QMCEngine,P,,Added a parameter optimization to all scipy.stats.qmc.QMCEngine subclasses to improve characteristics of the quasi-random variates.,,A generic Quasi-Monte Carlo sampler class meant for subclassing.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.qmc.QMCEngine.html#scipy.stats.qmc.QMCEngine,0/10,,,
1.10.0,scipy.misc,D,,scipy.misc module and all the methods in misc are deprecated in v1.10 and will be completely removed in SciPy v2.0.0. Users are suggested to utilize the scipy.datasets module instead for the dataset methods.,,,,,,,
1.10.0,scipy.interpolate.interp2d,D,,scipy.interpolate.interp2d class has been deprecated. The docstring of the deprecated routine lists recommended replacements.,,Interpolate over a 2-D grid.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.interpolate.interp2d.html#scipy.interpolate.interp2d,2/8,,0/10,1/6
1.11.0,scipy.integrate.qmc_quad,A,,Added scipy.integrate.qmc_quad for quasi-Monte Carlo integration.,,Compute an integral in N-dimensions using Quasi-Monte Carlo quadrature.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.integrate.qmc_quad.html#scipy.integrate.qmc_quad,,,,
1.11.0,scipy.ndimage.rank_filter,P,,"scipy.ndimage improvements
axes argument was added to rank_filter, percentile_filter, median_filter, uniform_filter, minimum_filter, maximum_filter, and gaussian_filter, which can be useful for processing stacks of image data.",,Calculate a multidimensional rank filter.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.rank_filter.html,4/9,,10/10,0/10
1.11.0,scipy.ndimage.percentile_filter,P,,,,Calculate a multidimensional percentile filter.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.percentile_filter.html,4/10,,10/10,10/10
1.11.0,scipy.ndimage.median_filter,P,,,,Calculate a multidimensional median filter.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.median_filter.html,3/9,,10/10,10/10
1.11.0,scipy.ndimage.uniform_filter,P,,,,Multidimensional uniform filter.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.uniform_filter.html,6/10,,10/10,10/10
1.11.0,scipy.ndimage.minimum_filter,P,,,,Calculate a multidimensional minimum filter.,,4/10,,10/10,10/10
1.11.0,scipy.ndimage.maximum_filter,P,,,,Calculate a multidimensional maximum filter.,,4/8,,10/10,10/10
1.11.0,scipy.ndimage.gaussian_filter,P,,,,Multidimensional Gaussian filter.,,6/10,,10/10,10/10
1.11.0,scipy.optimize.lsq_linear,P,,scipy.optimize.lsq_linear now accepts bounds arguments of type scipy.optimize.Bounds.,,Solve a linear least-squares problem with bounds on the variables.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.lsq_linear.html#scipy.optimize.lsq_linear,5/9,,9/10,9/9
1.11.0,scipy.optimize.curve_fit,P,,scipy.optimize.curve_fit now supports an optional nan_policy argument.,,,,,,,
1.11.0,scipy.optimize.shgo,P,,"scipy.optimize.shgo now has parallelization with the workers argument, symmetry arguments that can improve performance, class-based design to improve usability, and generally improved performance.",,"Finds the global minimum of a function using SHG optimization.
",https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.shgo.html#scipy.optimize.shgo,6/10,,0/9,9/9
1.11.0,scipy.sparse.isspmatrix,R,,scipy.sparse.isspmatrix now only returns True for the sparse matrices instances. scipy.sparse.issparse now has to be used instead to check for instances of sparse arrays or instances of sparse matrices.,,Is x of a sparse matrix type?,https://docs.scipy.org/doc/scipy/reference/generated/scipy.sparse.isspmatrix.html#scipy.sparse.isspmatrix,0/9,,5/10,
1.11.0,scipy.stats.sobol_indices,A,,"scipy.stats.sobol_indices, a method to compute Sobol’ sensitivity indices.",,Global sensitivity indices of Sobol’.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.sobol_indices.html#scipy.stats.sobol_indices,,,,
1.11.0,scipy.stats.dunnett,A,,"scipy.stats.dunnett, which performs Dunnett’s test of the means of multiple experimental groups against the mean of a control group.",,Dunnett’s test: multiple comparisons of means against a control group.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.dunnett.html#scipy.stats.dunnett,,,,
1.11.0,scipy.stats.ecdf,A,,scipy.stats.ecdf for computing the empirical CDF and complementary CDF (survival function / SF) from uncensored or right-censored data. This function is also useful for survival analysis / Kaplan-Meier estimation.,,Empirical cumulative distribution function of a sample.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ecdf.html#scipy.stats.ecdf,,,,
1.11.0,scipy.stats.logrank,A,,scipy.stats.logrank to compare survival functions underlying samples.,,Compare the survival distributions of two samples via the logrank test.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.logrank.html#scipy.stats.logrank,,,,
1.11.0,scipy.stats.false_discovery_control,A,,scipy.stats.false_discovery_control for adjusting p-values to control the false discovery rate of multiple hypothesis tests using the Benjamini-Hochberg or Benjamini-Yekutieli procedures.,,Adjust p-values to control the false discovery rate.,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.false_discovery_control.html#scipy.stats.false_discovery_control,,,,
1.11.0,scipy.linalg.tri,D,,"The scipy.linalg functions tri, triu & tril are deprecated and will be removed in SciPy 1.13. Users are recommended to use the NumPy versions of these functions with identical names.",,"Construct (N, M) matrix filled with ones at and below the kth diagonal. The matrix has A[i,j] == 1 for j <= i + k",https://docs.scipy.org/doc/scipy/reference/generated/scipy.linalg.tri.html,0/10,,0/10,0/10
1.11.0,scipy.linalg.triu,D,,"The scipy.linalg functions tri, triu & tril are deprecated and will be removed in SciPy 1.13. Users are recommended to use the NumPy versions of these functions with identical names.",,Make a copy of a matrix with elements below the kth diagonal zeroed.,,1/7,,0/10,0/10
1.11.0,scipy.linalg.tril,D,,"The scipy.linalg functions tri, triu & tril are deprecated and will be removed in SciPy 1.13. Users are recommended to use the NumPy versions of these functions with identical names.",,Make a copy of a matrix with elements above the kth diagonal zeroed.,,0/8,,0/10,0/10
1.11.0,scipy.signal.bspline,D,,"The scipy.signal functions bspline, quadratic & cubic are deprecated and will be removed in SciPy 1.13. Users are recommended to use scipy.interpolate.BSpline instead.",,B-spline basis function of order n.,,4/8,,0/10,6/8
1.11.0,scipy.signal.quadratic,D,,"The scipy.signal functions bspline, quadratic & cubic are deprecated and will be removed in SciPy 1.13. Users are recommended to use scipy.interpolate.BSpline instead.",,"A quadratic B-spline.

This is a special case of bspline, and equivalent to bspline(x, 2).",,0/6,,0/10,0/8
1.11.0,scipy.signal.cubic,D,,"The scipy.signal functions bspline, quadratic & cubic are deprecated and will be removed in SciPy 1.13. Users are recommended to use scipy.interpolate.BSpline instead.",,"A cubic B-spline.

This is a special case of bspline, and equivalent to bspline(x, 3).",,1/9,,0/10,0/8
1.11.0,scipy.integrate.simpson,D,,The even keyword of scipy.integrate.simpson is deprecated and will be removed in SciPy 1.13.0. Users should leave this as the default as this gives improved accuracy compared to the other methods,,"Integrate y(x) using samples along the given axis and the composite Simpson’s rule. If x is None, spacing of dx is assumed.",https://docs.scipy.org/doc/scipy/reference/generated/scipy.integrate.simpson.html#scipy.integrate.simpson,0/7,,0/10,10/10
