Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,,coplitot GC,gpt-turbo GC,ChatGPT-4 GC
2.14.0,tf.py_function,P,,"tf.py_function and tf.numpy_function can now be used as function decorators for clearer code: @tf.py_function(Tout=tf.float32)
def my_fun(x):
  print(""This always executes eagerly."")
  return x+1",,Wraps a python function into a TensorFlow op that executes it eagerly.,https://www.tensorflow.org/api_docs/python/tf/py_function,,,,
2.14.0,tf.numpy_function,P,,"tf.py_function and tf.numpy_function can now be used as function decorators for clearer code: @tf.py_function(Tout=tf.float32)
def my_fun(x):
  print(""This always executes eagerly."")
  return x+1",,Wraps a python function and uses it as a TensorFlow op.,https://www.tensorflow.org/api_docs/python/tf/numpy_function,,,,
2.14.0,tf.experimental.dtensor,P,,"API changes for Relayout. Added a new API, dtensor.relayout_like, for relayouting a tensor according to the layout of another tensor.
Added dtensor.get_default_mesh, for retrieving the current default mesh under the dtensor context.
*fft* ops now support dtensors with any layout. Fixed bug in 'fft2d/fft3d', 'ifft2d/ifft3d', 'rfft2d/rfft3d', and 'irfft2d/irfft3d' for sharde input. Refer to this blog post for details.",,Public API for tf._api.v2.experimental.dtensor namespace,https://www.tensorflow.org/api_docs/python/tf/experimental/dtensor,,,,
2.14.0,tf.ones,P,,"tf.ones, tf.zeros, tf.fill, tf.ones_like, tf.zeros_like now take an additional Layout argument that controls the output layout of their results.",,Creates a tensor with all elements set to one (1).,https://www.tensorflow.org/api_docs/python/tf/ones,,,,
2.14.0,tf.zeros ,P,,"tf.ones, tf.zeros, tf.fill, tf.ones_like, tf.zeros_like now take an additional Layout argument that controls the output layout of their results.",,Creates a tensor with all elements set to zero.,https://www.tensorflow.org/api_docs/python/tf/zeros,,,,
2.14.0,tf.fill  ,P,,"tf.ones, tf.zeros, tf.fill, tf.ones_like, tf.zeros_like now take an additional Layout argument that controls the output layout of their results.",,Creates a tensor filled with a scalar value.,https://www.tensorflow.org/api_docs/python/tf/fill,,,,
2.14.0,tf.ones_like  ,P,,"tf.ones, tf.zeros, tf.fill, tf.ones_like, tf.zeros_like now take an additional Layout argument that controls the output layout of their results.",,Creates a tensor of all ones that has the same shape as the input.,https://www.tensorflow.org/api_docs/python/tf/ones_like,,,,
2.14.0,tf.zeros_like,P,,"tf.ones, tf.zeros, tf.fill, tf.ones_like, tf.zeros_like now take an additional Layout argument that controls the output layout of their results.",,Creates a tensor with all elements set to zero.,https://www.tensorflow.org/api_docs/python/tf/zeros_like,,,,
2.14.0,tf.nest,P,,tf.nest and tf.data now support user defined classes implementing __tf_flatten__ and __tf_unflatten__ methods.,,Public API for tf._api.v2.nest namespace,https://www.tensorflow.org/api_docs/python/tf/nest,,,,
2.14.0,tf.data,P,,tf.nest and tf.data now support user defined classes implementing __tf_flatten__ and __tf_unflatten__ methods.,,Public API for tf._api.v2.data namespace,https://www.tensorflow.org/api_docs/python/tf/data,,,,
2.14.0,Model.compile,P,,"tf.keras: Model.compile now support steps_per_execution='auto' as a parameter, allowing automatic tuning of steps per execution during Model.fit,
Model.predict, and Model.evaluate for a significant performance boost.",,Configures the model for training.,https://www.tensorflow.org/api_docs/python/tf/keras/Model#compile,,,,
2.15.0,tf.types.experimental.GenericFunction,D,,tf.types.experimental.GenericFunction has been renamed to tf.types.experimental.PolymorphicFunction.,,Base class for polymorphic graph functions.,https://docs.w3cub.com/tensorflow~2.9/types/experimental/genericfunction,,,,
2.15.0,tf.types.experimental.TraceType,P,,tf.types.experimental.TraceType now allows custom tf.function inputs to declare Tensor decomposition and type casting support.,,Represents the type of object(s) for tf.function tracing purposes.,https://www.tensorflow.org/api_docs/python/tf/types/experimental/TraceType,,,,
2.15.0,warm_start,P,,tf.data: Moved option warm_start from tf.data.experimental.OptimizationOptions to tf.data.Options.,,"Whether to start background threads of asynchronous transformations upon iterator creation, as opposed to during the first call to next(). Defaults to False. This improves the latency of the initial 'next()' calls at the expense of requiring more memory to hold prefetched elements between the time of iterator construction and usage.",https://www.tensorflow.org/api_docs/python/tf/data/Options,,,,
2.15.0,tf.saved_model.SaveOptions,P,,"tf.saved_model.SaveOptions: Provided a new experimental_skip_saver argument which, if specified, will suppress the addition of SavedModel-native save and restore ops to the SavedModel, for cases where users already build custom save/restore ops and checkpoint formats for the model being saved, and the creation of the SavedModel-native save/restore ops simply cause longer model serialization times.",,Options for saving to SavedModel.,https://www.tensorflow.org/api_docs/python/tf/saved_model/SaveOptions,,,,
2.15.0,tf.CheckpointOptions,P,,It now takes in a new argument called experimental_write_callbacks. These are callbacks that will be executed after a saving event finishes writing the checkpoint file.,,,,,,,
2.15.0,tf.constant_initializer,P,,"It now takes a new argument called support_partition. If True, constant_initializers can create sharded variables. This is disabled by default, similar to existing behavior.",,Initializer that generates tensors with constant values.,https://www.tensorflow.org/api_docs/python/tf/constant_initializer,,,,
2.16.0,tf.summary.trace_on,P,,tf.summary.trace_on now takes a profiler_outdir argument. This must be set if profiler arg is set to True.,,Starts a trace to record computation graphs and profiling information.,https://www.tensorflow.org/api_docs/python/tf/summary/trace_on,,,,
2.16.0,tf.summary.trace_export,P,,tf.summary.trace_export's profiler_outdir arg is now a no-op. Enabling the profiler now requires setting profiler_outdir in trace_on.,,Stops and exports the active trace as a Summary and/or profile file.,https://www.tensorflow.org/api_docs/python/tf/summary/trace_export,,,,
2.16.0,tf.estimator,D,,"The tf.estimator API is removed. To continue using tf.estimator, you will need to use TF 2.15 or an earlier version.",,"a high-level API that encapsulates model training, evaluation, prediction, and exporting.",https://pypi.org/project/tensorflow-estimator/#description,,,,
2.16.0,tf.train.CheckpointOptions,P,,"These now take in a new argument called experimental_sharding_callback. This is a callback function wrapper that will be executed to determine how tensors will be split into shards when the saver writes the checkpoint shards to disk. tf.train.experimental.ShardByTaskPolicy is the default sharding behavior, but tf.train.experimental.MaxShardSizePolicy can be used to shard the checkpoint with a maximum shard file size. Users with advanced use cases can also write their own custom tf.train.experimental.ShardingCallbacks.",,Options for constructing a Checkpoint.,https://www.tensorflow.org/api_docs/python/tf/train/CheckpointOptions,,,,
2.16.0,tf.saved_model.SaveOptions,P,,"These now take in a new argument called experimental_sharding_callback. This is a callback function wrapper that will be executed to determine how tensors will be split into shards when the saver writes the checkpoint shards to disk. tf.train.experimental.ShardByTaskPolicy is the default sharding behavior, but tf.train.experimental.MaxShardSizePolicy can be used to shard the checkpoint with a maximum shard file size. Users with advanced use cases can also write their own custom tf.train.experimental.ShardingCallbacks.",,Options for saving to SavedModel.,https://www.tensorflow.org/api_docs/python/tf/saved_model/SaveOptions,,,,
2.16.0,tf.saved_model.SaveOptions,P,,"SaveOptions now takes a new argument called experimental_debug_stripper. When enabled, this strips the debug nodes from both the node defs and the function defs of the graph. Note that this currently only strips the Assert nodes from the graph and converts them into NoOps instead.",,Options for saving to SavedModel.,https://www.tensorflow.org/api_docs/python/tf/saved_model/SaveOptions,,,,
