Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,,coplitot GC,gpt-turbo GC,ChatGPT-4 GC
2.0.0,urllib3.contrib.ntlmpool,D,,Removed the deprecated ``urllib3.contrib.ntlmpool`` module.,#2339,"NTLM authenticating pool, contributed by erikcederstran",https://chromium.googlesource.com/chromium/tools/swarm_client/+/d2ac7948ef393cecd8f201f3c3cf8839a387a3ff/third_party/requests/packages/urllib3/contrib/ntlmpool.py,,,,
2.0.0,DEFAULT_CIPHERS,D,,"Removed ``DEFAULT_CIPHERS``, ``HAS_SNI``, ``USE_DEFAULT_SSLCONTEXT_CIPHERS``, from the private module ``urllib3.util.ssl_``.",#2168,,https://chromium.googlesource.com/external/github.com/kennethreitz/requests/+/58e513579a0934dbd737077f3069c04d68cf1a52/requests/packages/urllib3/util/ssl_.py,,,,
2.0.0,HAS_SNI,D,,"Removed ``DEFAULT_CIPHERS``, ``HAS_SNI``, ``USE_DEFAULT_SSLCONTEXT_CIPHERS``, from the private module ``urllib3.util.ssl_``.",#2168,,https://chromium.googlesource.com/external/github.com/kennethreitz/requests/+/58e513579a0934dbd737077f3069c04d68cf1a52/requests/packages/urllib3/util/ssl_.py,,,,
2.0.0,USE_DEFAULT_SSLCONTEXT_CIPHERS,D,,"Removed ``DEFAULT_CIPHERS``, ``HAS_SNI``, ``USE_DEFAULT_SSLCONTEXT_CIPHERS``, from the private module ``urllib3.util.ssl_``.",#2168,,https://chromium.googlesource.com/external/github.com/kennethreitz/requests/+/58e513579a0934dbd737077f3069c04d68cf1a52/requests/packages/urllib3/util/ssl_.py,,,,
2.0.0,urllib3.exceptions.SNIMissingWarning,D,,Removed ``urllib3.exceptions.SNIMissingWarning`` ,#2168,Warned when making a HTTPS request without SNI available.,https://urllib3.readthedocs.io/en/1.26.8/reference/urllib3.exceptions.html,,,,
2.0.0,_prepare_conn,D,,Removed the ``_prepare_conn`` method from ``HTTPConnectionPool``. Previously this was only used to call ``HTTPSConnection.set_cert()`` by ``HTTPSConnectionPool`` ,#1985,,https://urllib3.readthedocs.io/en/stable/reference/urllib3.connectionpool.html,,,,
2.0.0,tls_in_tls_required,D,,* Removed ``tls_in_tls_required`` property from ``HTTPSConnection``. This is now determined from the ``scheme`` parameter in ``HTTPConnection.set_tunnel()``.,#1985,,,,,,
2.0.0,strict,D,,"* Removed the ``strict`` parameter/attribute from ``HTTPConnection``, ``HTTPSConnection``, ``HTTPConnectionPool``, ``HTTPSConnectionPool``, and ``HTTPResponse``.",#2064,,,,,,
2.0.0,HTTPResponse.getheaders,D,,"Deprecated ``HTTPResponse.getheaders()`` and ``HTTPResponse.getheader()`` which will be removed in urllib3 v2.1.0. Instead use ``HTTPResponse.headers`` and ``HTTPResponse.headers.get(name, default)``. ",#1543        #2814,Returns an unmodifiable view of the HTTP headers and corresponding values.,https://docs.oracle.com/javame/8.0/api/httpclient/api/com/oracle/httpclient/HttpResponse.html,,,,
2.0.0,HTTPResponse.getheader,D,,"Deprecated ``HTTPResponse.getheaders()`` and ``HTTPResponse.getheader()`` which will be removed in urllib3 v2.1.0. Instead use ``HTTPResponse.headers`` and ``HTTPResponse.headers.get(name, default)``.",#2814,Returns the value of header for the response.,https://docs.oracle.com/javame/8.0/api/httpclient/api/com/oracle/httpclient/HttpResponse.html,,,,
2.0.0,urllib3.contrib.pyopenssl,D,,Deprecated ``urllib3.contrib.pyopenssl`` module which will be removed in urllib3 v2.1.0.,#2691,Module for using pyOpenSSL as a TLS backend.,https://urllib3.readthedocs.io/en/stable/reference/contrib/pyopenssl.html,,,,
2.0.0,urllib3.contrib.securetransport,D,,Deprecated ``urllib3.contrib.securetransport`` module which will be removed in urllib3 v2.1.0.,#2692,This makes platform-native TLS available to urllib3 users on macOS without the use of a compiler.,https://urllib3.readthedocs.io/en/1.26.4/reference/contrib/securetransport.html,,,,
2.0.0,ssl_version,D,,Deprecated ``ssl_version`` option in favor of ``ssl_minimum_version``. ``ssl_version`` will be removed in urllib3 v2.1.0.,#2110,Supported SSL versions at the server configuration parameter,https://www.ibm.com/docs/en/db2/11.5?topic=parameters-ssl-versions-supported-ssl-versions-server,,,,
2.0.0,strict,D,,Deprecated the ``strict`` parameter of ``PoolManager.connection_from_context()`` as it's not longer needed in Python 3.x. It will be removed in urllib3 v2.1.0,#2267,,https://urllib3.readthedocs.io/en/stable/reference/urllib3.poolmanager.html,,,,
2.0.0,NewConnectionError.pool,D,,Deprecated the ``NewConnectionError.pool`` attribute which will be removed in urllib3 v2.1.0.,#2271,,https://urllib3.readthedocs.io/en/stable/reference/urllib3.connectionpool.html,,,,
2.0.0,format_header_param_html5,D,,Deprecated ``format_header_param_html5`` and ``format_header_param`` in favor of ``format_multipart_header_param``.,#2257,,https://urllib3.readthedocs.io/en/stable/reference/urllib3.fields.html,,,,
2.0.0,format_header_param,D,,Deprecated ``format_header_param_html5`` and ``format_header_param`` in favor of ``format_multipart_header_param`` (`#2257 <https://github.com/urllib3/urllib3/issues/2257>`__).,#2257,,https://urllib3.readthedocs.io/en/stable/reference/urllib3.fields.html,,,,
2.0.0,RequestField.header_formatter,D,,Deprecated ``RequestField.header_formatter`` parameter which will be removed in urllib3 v2.1.0.,#2257,,https://urllib3.readthedocs.io/en/stable/reference/urllib3.fields.html,,,,
2.0.0,HTTPSConnection.set_cert,D,,Deprecated ``HTTPSConnection.set_cert()`` method. Instead pass parameters to the ``HTTPSConnection`` constructor.,#1985,,https://urllib3.readthedocs.io/en/stable/reference/urllib3.connection.html,,,,
2.0.0,HTTPConnection.request_chunked,D,,* Deprecated ``HTTPConnection.request_chunked()`` method which will be removed in urllib3 v2.1.0. Instead pass ``chunked=True`` to ``HTTPConnection.request()``.,#1985,"Alternative to the common request method, which sends the body with chunked encoding and not as one block",https://urllib3.readthedocs.io/en/stable/reference/urllib3.connection.html,,,,
2.0.0,urllib3.HTTPConnection.getresponse,R,,Changed ``urllib3.HTTPConnection.getresponse`` to return an instance of ``urllib3.HTTPResponse`` instead of ``http.client.HTTPResponse``.,#2648,Get the response from the server.,https://urllib3.readthedocs.io/en/stable/reference/urllib3.connection.html,,,,
2.0.0,ssl_version,P,,"Changed ``ssl_version`` to instead set the corresponding ``SSLContext.minimum_version``
  and ``SSLContext.maximum_version`` values.  Regardless of ``ssl_version`` passed
  ``SSLContext`` objects are now constructed using ``ssl.PROTOCOL_TLS_CLIENT``.
",#2110,Supported SSL versions at the server configuration parameter,https://www.ibm.com/docs/en/db2/11.5?topic=parameters-ssl-versions-supported-ssl-versions-server,,,,
2.0.0,SSLContext.minimum_version,P,,Changed default ``SSLContext.minimum_version`` to be ``TLSVersion.TLSv1_2`` in line with Python 3.10.,#2373,Like SSLContext.maximum_version except it is the lowest supported version or TLSVersion.MINIMUM_SUPPORTED.,https://docs.python.org/3/library/ssl.html#ssl.SSLContext.minimum_version,,,,
2.0.0,ProxyError,R,,"Changed ``ProxyError`` to wrap any connection error (timeout, TLS, DNS) that occurs when connecting to the proxy.",#2482,,,,,,
2.0.0,urllib3.util.create_urllib3_context,P,,Changed ``urllib3.util.create_urllib3_context`` to not override the system cipher suites with a default value. The new default will be cipher suites configured by the operating system.,#2168,Creates and configures an ssl.SSLContext instance for use with urllib3.,https://urllib3.readthedocs.io/en/stable/reference/urllib3.util.html,,,,
2.0.0,multipart/form-data,P,,Changed ``multipart/form-data`` header parameter formatting matches the WHATWG HTML Standard as of 2021-06-10. Control characters in filenames are no longer percent encoded.,#2257,,,,,,
2.0.0,ssl,R,,Changed the error raised when connecting via HTTPS when the ``ssl`` module isn't available from ``SSLError`` to ``ImportError``.,#2589,"This module provides access to Transport Layer Security (often known as “Secure Sockets Layer”) encryption and peer authentication facilities for network sockets, both client-side and server-side. This module uses the OpenSSL library. It is available on all modern Unix systems, Windows, macOS, and probably additional platforms, as long as OpenSSL is installed on that platform.",https://docs.python.org/3/library/ssl.html#ssl.SSLContext.load_verify_locations,,,,
2.0.0,HTTPConnection.request,P,,Changed ``HTTPConnection.request()`` to always use lowercase chunk boundaries when sending requests with ``Transfer-Encoding: chunked``.,#2515,This will send a request to the server using the HTTP request method method and the request URI url. The provided url must be an absolute path to conform with RFC 2616 §5.1.2 (unless connecting to an HTTP proxy server or using the OPTIONS or CONNECT methods),https://docs.python.org/3/library/http.client.html,,,,
2.0.0,enforce_content_length,P,,"Changed ``enforce_content_length`` default to True, preventing silent data loss when reading streamed responses.",#2514,"Enforce content length checking. Body returned by server must match value of Content-Length header, if present. Otherwise, raise error.",https://urllib3.readthedocs.io/en/stable/reference/urllib3.response.html,,,,
2.0.0,HTTPHeaderDict,P,,Changed internal implementation of ``HTTPHeaderDict`` to use ``dict`` instead of ``collections.OrderedDict`` for better performance,#2080,,https://codedocs.xyz/ktsaou/netdata/classpython__modules_1_1urllib3_1_1__collections_1_1HTTPHeaderDict.html,,,,
2.0.0,urllib3.contrib.pyopenssl,P,,Changed the ``urllib3.contrib.pyopenssl`` module to wrap ``OpenSSL.SSL.Error`` with ``ssl.SSLError`` in ``PyOpenSSLContext.load_cert_chain``.,#2628,"Module for using pyOpenSSL as a TLS backend. This module was relevant before the standard library ssl module supported SNI, but now that we’ve dropped support for Python 2.7 all relevant Python versions support SNI so this module is no longer recommended.",https://urllib3.readthedocs.io/en/stable/reference/contrib/pyopenssl.html,,,,
2.0.0,socket.error,P,,Changed usage of the deprecated ``socket.error`` to ``OSError``.,#2120,Errors are written to the agent log file for problems that occur with data received from a socket client.,https://www.ibm.com/docs/en/capm?topic=socket-errors,,,,
2.0.0,HTTPConnection,P,,Changed all parameters in the ``HTTPConnection`` and ``HTTPSConnection`` constructors to be keyword-only except ``host`` and ``port``.,#1985,"An HTTPConnection instance represents one transaction with an HTTP server. It should be instantiated by passing it a host and optional port number. If no port number is passed, the port is extracted from the host string if it has the form host:port, else the default HTTP port (80) is used. If the optional timeout parameter is given, blocking operations (like connection attempts) will timeout after that many seconds (if it is not given, the global default timeout setting is used). The optional source_address parameter may be a tuple of a (host, port) to use as the source address the HTTP connection is made from. The optional blocksize parameter sets the buffer size in bytes for sending a file-like message body.",https://docs.python.org/3/library/http.client.html,,,,
2.0.0,HTTPSConnection,P,,Changed all parameters in the ``HTTPConnection`` and ``HTTPSConnection`` constructors to be keyword-only except ``host`` and ``port``.,#1985,"A subclass of HTTPConnection that uses SSL for communication with secure servers. Default port is 443. If context is specified, it must be a ssl.SSLContext instance describing the various SSL options.",https://docs.python.org/3/library/http.client.html,,,,
2.0.0,HTTPConnection.getresponse,P,,Changed ``HTTPConnection.getresponse()`` to set the socket timeout from ``HTTPConnection.timeout`` value before reading data from the socket. This previously was done manually by the ``HTTPConnectionPool`` calling ``HTTPConnection.sock.settimeout(...)``.,#1985,Should be called after a request is sent to get the response from the server. Returns an HTTPResponse instance.,https://docs.python.org/3/library/http.client.html#http.client.HTTPConnection.getresponse,,,,
2.0.0,_proxy_host,P,,Changed the ``_proxy_host`` property to ``_tunnel_host`` in ``HTTPConnectionPool`` to more closely match how the property is used (value in ``HTTPConnection.set_tunnel()``).,#1985,name and port of a proxied server as specified in the proxy_pass directive;,https://nginx.org/en/docs/http/ngx_http_proxy_module.html,,,,
2.0.0,Retry.BACK0FF_MAX,P,,Changed name of ``Retry.BACK0FF_MAX`` to be ``Retry.DEFAULT_BACKOFF_MAX``.,,,,,,,
2.0.0,SSLContext.check_hostname,P,,Changed TLS handshakes to use ``SSLContext.check_hostname`` when possible.,#2452,"Whether to match the peer cert’s hostname in SSLSocket.do_handshake(). The context’s verify_mode must be set to CERT_OPTIONAL or CERT_REQUIRED, and you must pass server_hostname to wrap_socket() in order to match the hostname. Enabling hostname checking automatically sets verify_mode from CERT_NONE to CERT_REQUIRED. It cannot be set back to CERT_NONE as long as hostname checking is enabled. The PROTOCOL_TLS_CLIENT protocol enables hostname checking by default. With other protocols, hostname checking must be enabled explicitly.",https://docs.python.org/3/library/ssl.html#ssl.SSLContext.check_hostname,,,,
2.0.0,server_hostname,P,,Changed ``server_hostname`` to behave like other parameters only used by ``HTTPSConnectionPool``。,#2537,"Hostname of the server: str type, or None for server-side socket or if the hostname was not specified in the constructor.",https://docs.python.org/3/library/ssl.html,,,,
2.0.0,HTTPResponse.read,P,,Changed ``HTTPResponse.read()`` to raise an error when calling with ``decode_content=False`` after using ``decode_content=True`` to prevent data loss.,#2800,"Reads and returns the response body, or up to the next amt bytes.",https://docs.python.org/3/library/http.client.html,,,,
