Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,copilot,gpt-3.5-turbo,gpt-4-turbo,chatgpt4
9.4.0,FreeTypeFont.getmask2,P,,"Text may render differently when starting at fractional coordinates, so FreeTypeFont.getmask() and FreeTypeFont.getmask2() now support a start argument. This tuple of horizontal and vertical offset will be used internally by ImageDraw.text() to more accurately place text at the xy coordinates.",,Create a bitmap for the text.,https://github.com/python-pillow/Pillow/releases?page=2,,,,
9.5.0,ImageDraw.rounded_rectangle,P,,Added corners argument to ImageDraw.rounded_rectangle(),,Draws a rounded rectangle.,https://pillow.readthedocs.io/en/stable/reference/ImageDraw.html#PIL.ImageDraw.ImageDraw.rounded_rectangle,0/10,0/10,10/10,10/10
10.0.0,Image.getbbox,P,,"getbbox() now accepts a keyword argument of alpha_only. This is an optional flag, defaulting to True. If True and the image has an alpha channel, trim transparent pixels. Otherwise, trim pixels when all channels are zero.
",,Calculates the bounding box of the non-zero regions in the image.,https://pillow.readthedocs.io/en/stable/reference/Image.html#PIL.Image.Image.getbbox,4/9,10/10,10/10,5/5
10.1.0,Image.has_transparency_data,A,,"Images now have has_transparency_data to indicate whether the image has transparency data, whether in the form of an alpha channel, a palette with an alpha channel, or a “transparency” key in the info dictionary.",,"Determine if an image has transparency data, whether in the form of an alpha channel, a palette with an alpha channel, or a “transparency” key in the info dictionary.",https://pillow.readthedocs.io/en/stable/reference/Image.html#PIL.Image.Image.has_transparency_data,,,,
10.2.0,ImageFile.raise_oserror,D,,"ImageFile.raise_oserror() has been deprecated and will be removed in Pillow 12.0.0 (2025-10-15). The function is undocumented and is only useful for translating error codes returned by a codec’s decode() method, which ImageFile already does automatically.",,,,,,,
10.2.0, IptcImageFile.dump,D,,"The functions IptcImageFile.dump and IptcImageFile.i, and the constant IptcImageFile.PAD have been deprecated and will be removed in Pillow 12.0.0 (2025-10-15). These are undocumented helper functions intended for internal use, so there is no replacement. They can each be replaced by a single line of code using builtin functions in Python.",,,,,,,
10.2.0,IptcImageFile.i,D,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,0.06060606061,0.1428571429,0.3,0.2307692308
